Title,Platform,sources,scores
World Championship Poker: Featuring Howard Lederer - All In, PlayStation 3,,
World Heroes Anthology, PlayStation 4,,
X-Men Origins: Wolverine, PlayStation 4,,
X-Men: The Official Game, PlayStation 4,,
Yu-Gi-Oh! The Dawn of Destiny, PC,,
187 Ride or Die, Game Boy Advance,,
50 Cent: Bulletproof G Unit Edition, GameCube,,
Again: Interactive Crime Novel, PC,,
Akiba's Trip: Hellbound & Debriefed, Game Boy Advance,,
Alpha Polaris: A Horror Adventure Game, 3DS,,
Ant Nation, PlayStation 2,,
Aqua Moto Racing 3D, PC,,
Auto Modellista, Switch,,
Azurik: Rise of Perathia, PC,,
Back in 1995, Wii,,
